decade,song,artist,appearances,avg_rank,peak,score
1950s,Chantilly Lace,Big Bopper,25,27.84,6,1829.0
1950s,It's All In The Game,Tommy Edwards,22,18.59090909090909,1,1813.0
1950s,A Lover's Question,Clyde McPhatter,24,26.875,6,1779.0
1950s,"To Know Him, Is To Love Him",The Teddy Bears,23,23.782608695652176,1,1776.0
1950s,Mack The Knife,Bobby Darin,19,9.105263157894736,1,1746.0
1950s,The Battle Of New Orleans,Johnny Horton,21,18.523809523809526,1,1732.0
1950s,Donna,Ritchie Valens,23,25.91304347826087,2,1727.0
1950s,Tom Dooley,The Kingston Trio,21,19.38095238095238,1,1714.0
1950s,It's Only Make Believe,Conway Twitty,21,21.80952380952381,1,1663.0
1950s,Rock-in Robin,Bobby Day,21,22.095238095238095,2,1656.9999999999998
1950s,My Heart Is An Open Book,"Carl Dobkins, Jr.",24,33.958333333333336,3,1608.9999999999998
1950s,Smoke Gets In Your Eyes,The Platters,19,17.473684210526315,1,1587.0
1950s,Topsy II,Cozy Cole,21,28.19047619047619,3,1529.0
1950s,Lonely Teardrops,Jackie Wilson,21,28.666666666666668,7,1519.0
1950s,16 Candles,The Crests,21,28.761904761904763,2,1517.0
1950s,Stagger Lee,Lloyd Price,21,28.904761904761905,1,1514.0000000000002
1950s,Mr. Blue,The Fleetwoods,17,12.176470588235293,1,1510.0
1950s,Primrose Lane,Jerry Wallace With The Jewels,20,27.5,8,1470.0
1950s,Personality,Lloyd Price and His Orchestra,19,23.894736842105264,2,1465.0
1950s,Bird Dog,The Everly Brothers,18,19.88888888888889,2,1460.0
1960s,The Twist,Chubby Checker,39,14.76923076923077,1,3363.0
1960s,Wipe Out,The Surfaris,30,33.7,2,2019.0
1960s,He'll Have To Go,Jim Reeves,22,15.272727272727273,2,1885.9999999999998
1960s,"Hello, Dolly!",Louis Armstrong And The All Stars,22,17.363636363636363,1,1840.0
1960s,Tossin' And Turnin',Bobby Lewis,23,22.608695652173914,1,1803.0000000000002
1960s,"Sugar, Sugar",The Archies,22,19.318181818181817,1,1797.0
1960s,I'm Sorry,Brenda Lee,23,23.52173913043478,1,1782.0
1960s,Hey Jude,The Beatles,19,7.842105263157895,1,1770.0
1960s,Limbo Rock,Chubby Checker,23,24.52173913043478,2,1759.0
1960s,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,21,19.285714285714285,1,1716.0000000000002
1960s,Exodus,Ferrante & Teicher,21,19.38095238095238,2,1714.0
1960s,North To Alaska,Johnny Horton,23,26.73913043478261,4,1708.0
1960s,Sixteen Reasons,Connie Stevens,24,30.458333333333332,3,1693.0
1960s,Sunshine Of Your Love,Cream,26,38.23076923076923,5,1632.0
1960s,It's Now Or Never,Elvis Presley With The Jordanaires,20,19.85,1,1623.0
1960s,Sweet Nothin's,Brenda Lee,22,27.5,4,1617.0
1960s,Stranger On The Shore,Mr. Acker Bilk,21,24.238095238095237,1,1612.0
1960s,Moon River,Henry Mancini And His Orchestra,26,39.76923076923077,11,1592.0
1960s,Finger Poppin' Time,Hank Ballard And The Midnighters,26,40.26923076923077,7,1579.0
