decade,song,artist,appearances,avg_rank,peak,score,link
1950s,Chantilly Lace,Big Bopper,25,27.84,6,1829,https://www.youtube.com/watch?v=lGXFVOc5I8Q&list=RDlGXFVOc5I8Q&start_radio=1
1950s,It's All In The Game,Tommy Edwards,22,18.59090909,1,1813,https://www.youtube.com/watch?v=ubsb25Ckkbg&list=RDubsb25Ckkbg&start_radio=1
1950s,A Lover's Question,Clyde McPhatter,24,26.875,6,1779,https://www.youtube.com/watch?v=XrqW1EBLyJA&list=RDXrqW1EBLyJA&start_radio=1
1950s,"To Know Him, Is To Love Him",The Teddy Bears,23,23.7826087,1,1776,https://www.youtube.com/watch?v=tIUf6dOGc1c&list=RDtIUf6dOGc1c&start_radio=1
1950s,Mack The Knife,Bobby Darin,19,9.105263158,1,1746,https://www.youtube.com/watch?v=dyIeNYt_Vvs&list=RDdyIeNYt_Vvs&start_radio=1
1950s,The Battle Of New Orleans,Johnny Horton,21,18.52380952,1,1732,https://www.youtube.com/watch?v=aXfuQqkwa5I&list=RDaXfuQqkwa5I&start_radio=1
1950s,Donna,Ritchie Valens,23,25.91304348,2,1727,https://www.youtube.com/watch?v=0iJCAcKIwdI&list=RD0iJCAcKIwdI&start_radio=1
1950s,Tom Dooley,The Kingston Trio,21,19.38095238,1,1714,https://www.youtube.com/watch?v=I8grIno58BM&list=RDI8grIno58BM&start_radio=1
1950s,It's Only Make Believe,Conway Twitty,21,21.80952381,1,1663,https://www.youtube.com/watch?v=zIlVAnoNabY&list=RDzIlVAnoNabY&start_radio=1
1950s,Rock-in Robin,Bobby Day,21,22.0952381,2,1657,https://www.youtube.com/watch?v=E6yGhe2gQxw&list=RDE6yGhe2gQxw&start_radio=1
1950s,My Heart Is An Open Book,"Carl Dobkins, Jr.",24,33.95833333,3,1609,https://www.youtube.com/watch?v=uJjEpwPsSGE&list=RDuJjEpwPsSGE&start_radio=1
1950s,Smoke Gets In Your Eyes,The Platters,19,17.47368421,1,1587,https://www.youtube.com/watch?v=H2di83WAOhU&list=RDH2di83WAOhU&start_radio=1
1950s,Topsy II,Cozy Cole,21,28.19047619,3,1529,https://www.youtube.com/watch?v=H2di83WAOhU&list=RDH2di83WAOhU&start_radio=1
1950s,Lonely Teardrops,Jackie Wilson,21,28.66666667,7,1519,https://www.youtube.com/watch?v=J9vG5BhOKaY&list=RDJ9vG5BhOKaY&start_radio=1
